,Unnamed: 0,recid,late_Xfit,pred_takeup_prob,education,age,prev_earnings,allocated_trmt,earnings,pred_earnings,counterfac_pred_earnings,pred_pred_itt,pred_actual_itt,doubly_robust_lasso,Rlr1,doubly_robust_ols,Rlr1poly,doubly_robust_polyols,clstrs9,d_rob_ols_Xfit
4284,4259,309617,-57745.0,0.6580327205986468,11,31,12000,0,39984,27546.30979678759,28406.923827042447,860.6140302548556,-11577.076172957552,860.6140302548556,2003.0318514033927,2003.0318514033927,-2986.137044438336,-2986.137044438336,1,-40357
4285,4260,309618,-30014.0,0.7317238783271409,17,23,4000,1,312,22158.95260795168,28807.02264700188,-6648.070039050202,-28495.02264700188,-39418.49895097772,187.7881239652852,-33517.03425084834,-12688.130070273472,-18506.579892544964,4,-33428
4286,4261,309619,53803.0,0.7021787914676986,14,23,1800,0,4681,17755.80473765288,16947.473952081586,-808.3307855712958,12266.473952081587,-808.3307855712958,807.9726363585104,807.9726363585104,-795.476570643059,-795.476570643059,4,36076
4287,4262,309620,53590.0,0.6382525857270187,10,24,800,1,171,12627.136642545645,9537.207453953091,3089.929188592552,-9366.207453953091,-15594.275775225913,1731.3121780706333,-17276.521046698384,-18.722302171430787,8892.918039215378,3,-17149
4288,4263,309621,2557.0,0.6034289988574063,8,26,1005,1,11883,11395.051348281018,8179.071867002143,3215.979481278875,3703.928132997857,3947.902458857348,2196.9464769330752,2969.7767857120434,2519.2519507112484,27167.831177709228,3,2994
4289,4264,309624,-5153.0,0.5887565441293515,8,47,900,1,3966,9636.849399569728,9686.76611274784,-49.916713178112325,-5720.76611274784,-8556.190812532705,1613.1602545536034,-6082.480966469738,-3386.230419650212,11059.421023638391,3,-6830
4290,4265,309628,-17266.0,0.6880220302469335,17,28,9300,1,15919,29170.435719546167,33993.77956906625,-4823.343849520079,-18074.779569066246,-24700.49742883933,390.066311323204,-20070.32000582298,-22304.18369233662,-2909.8046391101007,1,-20887
4291,4266,309629,-14631.0,0.6776389513676767,13,27,7700,1,12128,24203.330933147197,24625.645144172027,-422.3142110248373,-12497.64514417203,-18535.310610745626,1329.9101383921734,-17007.780350282406,-1809.106642804054,2914.7958909630324,1,-17405
4292,4267,309631,79784.0,0.6885092763351673,13,23,5980,0,3003,22744.73253305519,21995.51454503335,-749.2179880218391,18992.51454503335,-749.2179880218391,1329.5923332137465,1329.5923332137465,-901.3454092318973,-901.3454092318973,1,56006
4293,4268,309632,6049.0,0.666626099082197,11,22,3000,1,14500,16472.445692174435,14722.539315396147,1749.9063767782864,-222.5393153961486,-1208.7621614833658,1673.5392737393995,-1845.563779175304,1892.3878783392609,24625.821067891597,4,-1935
