,recid,education,age,prev_earnings,allocated_trmt,earnings,clstrs9,Rlr1,d_rob_ols_Xfit
5818,313077,13,33,1500,1,12798,4,767.6838070584181,-3045
5819,313078,12,34,2173,0,8826,4,1037.0638361943493,17507
5820,313080,14,30,3840,1,39909,4,746.3622865450852,31638
5821,313081,12,29,0,1,4908,4,1035.1925284799418,-10938
5822,313083,13,24,1800,1,18267,4,1034.2206443879222,3542
5823,313088,12,65,0,1,11164,2,45.952200451409226,3168
5824,313091,12,28,0,1,14589,4,1062.6714264807342,3475
5825,313098,12,38,4686,1,9793,1,1088.204364608242,-11695
5826,313100,11,22,6000,1,2355,1,1865.8068269631076,-25874
5827,313105,10,31,4000,0,9992,3,1744.045282170373,15862
5828,313106,12,30,4000,1,20272,4,1264.0703681107589,4342
5829,313107,8,22,160,1,2676,3,2252.7067081115656,-9777
5830,313108,12,23,0,0,9241,4,1200.0659164846948,10414
5831,313109,8,26,8500,1,6876,3,2677.2949140703095,-19164
5832,313110,7,40,575,1,14640,3,2038.4104616567884,11092
5833,313111,12,52,4983,0,16679,2,722.5342803662934,558
5834,313113,16,33,4700,0,38732,1,211.58847907309246,-50640
5835,313114,12,27,2000,0,9004,4,1218.3286932973333,18050
5836,313119,9,59,2827,0,29574,2,1153.1864308679178,-56595
5837,313121,9,32,3300,1,73248,3,1925.430861114255,89545
5838,313124,15,30,12800,0,46915,1,1066.87447280969,-43356
5839,313126,14,45,2000,1,699,2,216.25471722265866,-22132
5840,313128,9,25,0,0,2916,3,1906.2888385737224,19712
5841,313131,12,34,0,1,63463,2,897.7980384759776,77430
5842,313135,12,31,16258,1,46610,1,2022.196692582038,18744
5843,313138,12,42,1040,1,0,2,744.6196062538565,-18902
5844,313143,17,42,14000,0,17958,1,306.5809060292522,49592
5845,313144,11,30,8000,0,17511,1,1774.1540117725744,12654
5846,313149,12,53,300,0,12444,2,394.9257317832926,-5957
5847,313151,12,34,5000,1,41304,1,1218.2439605154905,34643
